drug_name,reaction,n,total_drug,total_reaction,ror,pct_of_drug
Розувастатин (57 мг),Лейкопения,2,2,227,140.6319290465632,100.0
Бупропион (93 мг),Лейкопения,2,2,227,140.6319290465632,100.0
Нифедипин (87 мг),Лейкопения,2,2,227,140.6319290465632,100.0
Валсартан (86 мг),Метеоризм,2,2,234,136.247311827957,100.0
Ламотриджин (41 мг),Желудочно-кишечные расстройства,2,2,236,135.04264392324095,100.0
Вальпроевая кислота (90 мг),Сыпь,2,2,247,128.76782077393077,100.0
Дипиридамол (5 мг),Сонливость,2,2,261,121.55105973025047,100.0
Эналаприл (32 мг),Сонливость,2,2,261,121.55105973025047,100.0
Парацетамол (88 мг),Сухость во рту,1,1,170,113.26548672566372,100.0
Ибупрофен (43 мг),Сухость во рту,1,1,170,113.26548672566372,100.0
Спиронолактон (33 мг),Сухость во рту,1,1,170,113.26548672566372,100.0
Омепразол (69 мг),Сухость во рту,1,1,170,113.26548672566372,100.0
Циталопрам (27 мг),Анемия,1,1,187,102.66756032171581,100.0
Доксепин (33 мг),Анемия,1,1,187,102.66756032171581,100.0
Карбамазепин (98 мг),Анемия,1,1,187,102.66756032171581,100.0
Леветирацетам (39 мг),Кашель,1,1,195,98.32133676092545,100.0
Нифедипин (51 мг),Гипогликемия,1,1,195,98.32133676092545,100.0
Эсзопиклон (27 мг),Гипогликемия,1,1,195,98.32133676092545,100.0
Лозартан (66 мг),Кашель,1,1,195,98.32133676092545,100.0
Дулоксетин (86 мг),Кашель,1,1,195,98.32133676092545,100.0
Симвастатин (72 мг),Гипогликемия,1,1,195,98.32133676092545,100.0
Амилорид (25 мг),Кашель,1,1,195,98.32133676092545,100.0
Флуоксетин (87 мг),Кашель,1,1,195,98.32133676092545,100.0
Рилменидин (73 мг),Гипогликемия,1,1,195,98.32133676092545,100.0
Вортиоксетин (7 мг),Гипогликемия,1,1,195,98.32133676092545,100.0
Цилостазол (28 мг),Аллергические реакции,1,1,198,96.78227848101265,100.0
Апиксабан (54 мг),Аллергические реакции,1,1,198,96.78227848101265,100.0
Трандолаприл (62 мг),Аллергические реакции,1,1,198,96.78227848101265,100.0
Азилсартан (37 мг),Аллергические реакции,1,1,198,96.78227848101265,100.0
Фенитоин (35 мг),Аллергические реакции,1,1,198,96.78227848101265,100.0
Трандолаприл (2 мг),Повышение печёночных ферментов,1,1,203,94.31851851851852,100.0
Фуросемид (100 мг),Повышение печёночных ферментов,1,1,203,94.31851851851852,100.0
Нифедипин (32 мг),Повышение печёночных ферментов,1,1,203,94.31851851851852,100.0
Дилтиазем (62 мг),Повышение печёночных ферментов,1,1,203,94.31851851851852,100.0
Моклобемид (77 мг),Головокружение,1,1,206,92.8978102189781,100.0
Гидралазин (14 мг),Головокружение,1,1,206,92.8978102189781,100.0
Фондапаринукс (98 мг),Головокружение,1,1,206,92.8978102189781,100.0
Фуросемид (24 мг),Головокружение,1,1,206,92.8978102189781,100.0
Омепразол (54 мг),Головокружение,1,1,206,92.8978102189781,100.0
Метопролол (79 мг),Головокружение,1,1,206,92.8978102189781,100.0
Спиронолактон (72 мг),Гиперкалиемия,1,1,210,91.06682577565633,100.0
Ацетилсалициловая кислота (94 мг),Гиперкалиемия,1,1,210,91.06682577565633,100.0
Телмисартан (9 мг),Гиперкалиемия,1,1,210,91.06682577565633,100.0
Эсциталопрам (24 мг),Шум в ушах,1,1,211,90.61995249406176,100.0
Фенитоин (71 мг),Шум в ушах,1,1,211,90.61995249406176,100.0
Дексаметазон (36 мг),Шум в ушах,1,1,211,90.61995249406176,100.0
Розувастатин (10 мг),Миалгия,1,1,216,88.4477958236659,100.0
Миртазапин (53 мг),Миалгия,1,1,216,88.4477958236659,100.0
Правастатин (19 мг),Запор,1,1,216,88.4477958236659,100.0
Аторвастатин (36 мг),Миалгия,1,1,216,88.4477958236659,100.0
Валсартан (8 мг),Запор,1,1,216,88.4477958236659,100.0
Эналаприл (18 мг),Миалгия,1,1,216,88.4477958236659,100.0
Фенитоин (19 мг),Запор,1,1,216,88.4477958236659,100.0
Метилдопа (27 мг),Запор,1,1,216,88.4477958236659,100.0
Фондапаринукс (35 мг),Миалгия,1,1,216,88.4477958236659,100.0
Миноксидил (8 мг),Запор,1,1,216,88.4477958236659,100.0
Циталопрам (29 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Аторвастатин (10 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Молсидомин (25 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Эсзопиклон (87 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Венлафаксин (57 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Парацетамол (63 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Бупропион (9 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Рамелтеон (87 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Вальпроевая кислота (11 мг),Повышение креатинина,1,1,217,88.02540415704387,100.0
Атенолол (56 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Миноксидил (94 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Каптоприл (88 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Амилорид (23 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Дулоксетин (83 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Транилципромин (61 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Флувоксамин (12 мг),Тахикардия,1,1,218,87.60689655172413,100.0
Тамсулозин (94 мг),Нарушение зрения,1,1,220,86.78132118451025,100.0
Клонидин (25 мг),Нарушение зрения,1,1,220,86.78132118451025,100.0
Клоназепам (92 мг),Нарушение зрения,1,1,220,86.78132118451025,100.0
Небиволол (35 мг),Изжога,1,1,221,86.37414965986395,100.0
Миноксидил (80 мг),Изжога,1,1,221,86.37414965986395,100.0
Эсзопиклон (23 мг),Отёки,1,1,222,85.9706546275395,100.0
Амилорид (68 мг),Гипотензия,1,1,222,85.9706546275395,100.0
Дилтиазем (93 мг),Гипотензия,1,1,222,85.9706546275395,100.0
Индапамид (59 мг),Тошнота,1,1,222,85.9706546275395,100.0
Флувоксамин (80 мг),Отёки,1,1,222,85.9706546275395,100.0
Парацетамол (57 мг),Отёки,1,1,222,85.9706546275395,100.0
Фондапаринукс (39 мг),Отёки,1,1,222,85.9706546275395,100.0
Эсзопиклон (14 мг),Тошнота,1,1,222,85.9706546275395,100.0
Альфузозин (99 мг),Гипотензия,1,1,222,85.9706546275395,100.0
Гидралазин (61 мг),Гипотензия,1,1,222,85.9706546275395,100.0
Дексаметазон (33 мг),Тошнота,1,1,222,85.9706546275395,100.0
Бисопролол (82 мг),Гипотензия,1,1,222,85.9706546275395,100.0
Варфарин (89 мг),Тошнота,1,1,222,85.9706546275395,100.0
Валсартан (90 мг),Отёки,1,1,222,85.9706546275395,100.0
Эсциталопрам (17 мг),Отёки,1,1,222,85.9706546275395,100.0
Миртазапин (43 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Лоразепам (62 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Никорандил (35 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Фуросемид (86 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Метилдопа (10 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Амлодипин (63 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Венлафаксин (30 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Венлафаксин (64 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Ибупрофен (44 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Каптоприл (53 мг),Нарушение вкуса,1,1,223,85.57078651685393,100.0
Дулоксетин (34 мг),Брадикардия,1,1,224,85.1744966442953,100.0
Рамелтеон (96 мг),Брадикардия,1,1,224,85.1744966442953,100.0
Метформин (26 мг),Брадикардия,1,1,224,85.1744966442953,100.0
Правастатин (84 мг),Брадикардия,1,1,224,85.1744966442953,100.0
Ривароксабан (4 мг),Брадикардия,1,1,224,85.1744966442953,100.0
Леветирацетам (5 мг),Головная боль,1,1,225,84.78173719376392,100.0
Миноксидил (74 мг),Диарея,1,1,226,84.39246119733924,100.0
Альфузозин (31 мг),Диарея,1,1,226,84.39246119733924,100.0
Кандесартан (6 мг),Диарея,1,1,226,84.39246119733924,100.0
Клопидогрел (34 мг),Диарея,1,1,226,84.39246119733924,100.0
Эпросартан (71 мг),Диарея,1,1,226,84.39246119733924,100.0
Миноксидил (45 мг),Диарея,1,1,226,84.39246119733924,100.0
Парацетамол (47 мг),Диарея,1,1,226,84.39246119733924,100.0
Эсциталопрам (54 мг),Диарея,1,1,226,84.39246119733924,100.0
Дулоксетин (35 мг),Диарея,1,1,226,84.39246119733924,100.0
Карбамазепин (62 мг),Лейкопения,1,1,227,84.00662251655629,100.0
Этосуксимид (41 мг),Лейкопения,1,1,227,84.00662251655629,100.0
Апиксабан (66 мг),Лейкопения,1,1,227,84.00662251655629,100.0
Каптоприл (59 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Тамсулозин (39 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Эналаприл (53 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Метилдопа (91 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Теразозин (76 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Верапамил (94 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Молсидомин (81 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Изосорбида мононитрат (75 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Дабигатран (51 мг),Тромбоцитопения,1,1,232,82.12742980561555,100.0
Топирамат (76 мг),Метеоризм,1,1,234,81.3982869379015,100.0
Кандесартан (58 мг),Метеоризм,1,1,234,81.3982869379015,100.0
Теразозин (43 мг),Метеоризм,1,1,234,81.3982869379015,100.0
Аторвастатин (2 мг),Метеоризм,1,1,234,81.3982869379015,100.0
Эсзопиклон (21 мг),Метеоризм,1,1,234,81.3982869379015,100.0
Моклобемид (15 мг),Метеоризм,1,1,234,81.3982869379015,100.0
Эзетимиб (76 мг),Усталость,1,1,235,81.03837953091684,100.0
Метилдопа (16 мг),Усталость,1,1,235,81.03837953091684,100.0
Периндоприл (84 мг),Усталость,1,1,235,81.03837953091684,100.0
Трандолаприл (9 мг),Усталость,1,1,235,81.03837953091684,100.0
Флуоксетин (35 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Теразозин (31 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Флуоксетин (27 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Пентоксифиллин (86 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Никорандил (73 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Атенолол (15 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Нифедипин (46 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Никорандил (21 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Правастатин (21 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Ирбесартан (100 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Фенитоин (96 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Рамелтеон (5 мг),Желудочно-кишечные расстройства,1,1,236,80.68152866242038,100.0
Фенитоин (60 мг),Сыпь,1,1,247,76.947261663286,100.0
Гидралазин (31 мг),Сыпь,1,1,247,76.947261663286,100.0
Дабигатран (59 мг),Сыпь,1,1,247,76.947261663286,100.0
Эноксапарин (45 мг),Сыпь,1,1,247,76.947261663286,100.0
Эсзопиклон (100 мг),Бессонница,1,1,250,75.98597194388778,100.0
Фуросемид (65 мг),Бессонница,1,1,250,75.98597194388778,100.0
Атенолол (60 мг),Бессонница,1,1,250,75.98597194388778,100.0
Периндоприл (63 мг),Бессонница,1,1,250,75.98597194388778,100.0
Ацетилсалициловая кислота (12 мг),Бессонница,1,1,250,75.98597194388778,100.0
Периндоприл (19 мг),Сонливость,1,1,261,72.65067178502879,100.0
Молсидомин (77 мг),Сонливость,1,1,261,72.65067178502879,100.0
Циталопрам (37 мг),Сонливость,1,1,261,72.65067178502879,100.0
Эпросартан (7 мг),Сонливость,1,1,261,72.65067178502879,100.0
Топирамат (6 мг),Сонливость,1,1,261,72.65067178502879,100.0
Дабигатран (53 мг),Сухость во рту,2,3,170,63.288822947576655,66.66666666666666
Рилменидин (34 мг),Бессонница,3,4,250,59.56835016835017,75.0
Фенофибрат (77 мг),Сухость во рту,3,5,170,53.471641791044775,60.0
Цилостазол (94 мг),Повышение печёночных ферментов,2,3,203,52.650951199338294,66.66666666666666
Цефтриаксон (89 мг),Запор,2,3,216,49.358974358974365,66.66666666666666
Залеплон (67 мг),Тошнота,2,3,222,47.97052154195011,66.66666666666666
Тамсулозин (58 мг),Гипотензия,2,3,222,47.97052154195011,66.66666666666666
Эсзопиклон (74 мг),Тошнота,2,3,222,47.97052154195011,66.66666666666666
Моксонидин (50 мг),Тошнота,2,3,222,47.97052154195011,66.66666666666666
Лозартан (55 мг),Гипотензия,2,3,222,47.97052154195011,66.66666666666666
Омепразол (96 мг),Брадикардия,2,3,224,47.52434456928839,66.66666666666666
Рамиприл (88 мг),Диарея,2,3,226,47.08611729769859,66.66666666666666
Эпросартан (93 мг),Усталость,2,3,235,45.206995003568885,66.66666666666666
Амлодипин (72 мг),Сыпь,2,3,247,42.915818058384254,66.66666666666666
Метилдопа (100 мг),Гиперкалиемия,3,5,210,42.89397590361446,60.0
Фуросемид (22 мг),Бессонница,2,3,250,42.377598926894706,66.66666666666666
Эпросартан (85 мг),Сонливость,2,3,261,40.51059730250482,66.66666666666666
Амилорид (30 мг),Сонливость,2,3,261,40.51059730250482,66.66666666666666
Рамиприл (59 мг),Сонливость,2,3,261,40.51059730250482,66.66666666666666
Пентоксифиллин (54 мг),Сонливость,2,3,261,40.51059730250482,66.66666666666666
Топирамат (37 мг),Лейкопения,3,5,227,39.53986636971046,60.0
Гидралазин (2 мг),Желудочно-кишечные расстройства,3,5,236,37.96188436830835,60.0
Фуросемид (11 мг),Сухость во рту,1,2,170,37.74926253687316,50.0
Пароксетин (100 мг),Сухость во рту,1,2,170,37.74926253687316,50.0
Рамиприл (66 мг),Сухость во рту,1,2,170,37.74926253687316,50.0
Атенолол (47 мг),Сухость во рту,1,2,170,37.74926253687316,50.0
Аторвастатин (93 мг),Сухость во рту,1,2,170,37.74926253687316,50.0
Трандолаприл (49 мг),Брадикардия,4,7,224,36.98250728862974,57.14285714285714
Индапамид (20 мг),Анемия,1,2,187,34.2171581769437,50.0
Варфарин (57 мг),Кашель,2,4,195,32.9328165374677,50.0
Метилдопа (28 мг),Кашель,2,4,195,32.9328165374677,50.0
Доксепин (72 мг),Гипогликемия,2,4,195,32.9328165374677,50.0
Моксонидин (10 мг),Кашель,1,2,195,32.768637532133674,50.0
Тразодон (48 мг),Гипогликемия,1,2,195,32.768637532133674,50.0
Гепарин (96 мг),Кашель,1,2,195,32.768637532133674,50.0
Парацетамол (35 мг),Гипогликемия,1,2,195,32.768637532133674,50.0
Апиксабан (73 мг),Гипогликемия,1,2,195,32.768637532133674,50.0
Тамсулозин (34 мг),Гипогликемия,1,2,195,32.768637532133674,50.0
Тамсулозин (34 мг),Аллергические реакции,1,2,198,32.255696202531645,50.0
Валсартан (16 мг),Аллергические реакции,1,2,198,32.255696202531645,50.0
Дулоксетин (40 мг),Аллергические реакции,1,2,198,32.255696202531645,50.0
Дипиридамол (80 мг),Аллергические реакции,1,2,198,32.255696202531645,50.0
Амлодипин (84 мг),Повышение печёночных ферментов,1,2,203,31.43456790123457,50.0
Апиксабан (73 мг),Повышение печёночных ферментов,1,2,203,31.43456790123457,50.0
Атенолол (47 мг),Повышение печёночных ферментов,1,2,203,31.43456790123457,50.0
Периндоприл (83 мг),Повышение печёночных ферментов,1,2,203,31.43456790123457,50.0
Телмисартан (10 мг),Повышение печёночных ферментов,1,2,203,31.43456790123457,50.0
Пропранолол (8 мг),Головокружение,1,2,206,30.961070559610704,50.0
Пароксетин (90 мг),Головокружение,1,2,206,30.961070559610704,50.0
Парацетамол (35 мг),Головокружение,1,2,206,30.961070559610704,50.0
Клопидогрел (4 мг),Головокружение,1,2,206,30.961070559610704,50.0
Флувоксамин (53 мг),Головокружение,1,2,206,30.961070559610704,50.0
Лоразепам (59 мг),Гиперкалиемия,2,4,210,30.491606714628297,50.0
Тамсулозин (51 мг),Гиперкалиемия,2,4,210,30.491606714628297,50.0
Ламотриджин (42 мг),Гиперкалиемия,1,2,210,30.350835322195703,50.0
Фенитоин (70 мг),Гиперкалиемия,1,2,210,30.350835322195703,50.0
Клоназепам (61 мг),Гиперкалиемия,1,2,210,30.350835322195703,50.0
Периндоприл (2 мг),Гиперкалиемия,1,2,210,30.350835322195703,50.0
Лизиноприл (3 мг),Шум в ушах,2,4,211,30.34128878281623,50.0
Телмисартан (17 мг),Шум в ушах,1,2,211,30.201900237529692,50.0
Эсциталопрам (98 мг),Шум в ушах,1,2,211,30.201900237529692,50.0
Периндоприл (2 мг),Шум в ушах,1,2,211,30.201900237529692,50.0
Миноксидил (43 мг),Миалгия,3,6,216,29.744730679156913,50.0
Миноксидил (43 мг),Запор,3,6,216,29.744730679156913,50.0
Гепарин (96 мг),Запор,1,2,216,29.477958236658935,50.0
Аторвастатин (93 мг),Запор,1,2,216,29.477958236658935,50.0
Эпросартан (88 мг),Запор,1,2,216,29.477958236658935,50.0
Циталопрам (91 мг),Миалгия,1,2,216,29.477958236658935,50.0
Телмисартан (53 мг),Миалгия,1,2,216,29.477958236658935,50.0
Пропранолол (57 мг),Миалгия,1,2,216,29.477958236658935,50.0
Эпросартан (34 мг),Запор,1,2,216,29.477958236658935,50.0
Амлодипин (84 мг),Миалгия,1,2,216,29.477958236658935,50.0
Клопидогрел (90 мг),Миалгия,1,2,216,29.477958236658935,50.0
Парацетамол (54 мг),Запор,1,2,216,29.477958236658935,50.0
Транилципромин (88 мг),Миалгия,1,2,216,29.477958236658935,50.0
Розувастатин (79 мг),Запор,1,2,216,29.477958236658935,50.0
Индапамид (49 мг),Запор,1,2,216,29.477958236658935,50.0
Трандолаприл (83 мг),Миалгия,1,2,216,29.477958236658935,50.0
Дексаметазон (18 мг),Запор,1,2,216,29.477958236658935,50.0
Пропранолол (8 мг),Повышение креатинина,1,2,217,29.337182448036952,50.0
Агомелатин (68 мг),Повышение креатинина,1,2,217,29.337182448036952,50.0
Клоназепам (61 мг),Повышение креатинина,1,2,217,29.337182448036952,50.0
Агомелатин (61 мг),Тахикардия,2,4,218,29.327944572748265,50.0
Моклобемид (98 мг),Тахикардия,2,4,218,29.327944572748265,50.0
Лоразепам (59 мг),Тахикардия,2,4,218,29.327944572748265,50.0
Верапамил (14 мг),Тахикардия,2,4,218,29.327944572748265,50.0
Нифедипин (78 мг),Нарушение зрения,3,6,220,29.179310344827584,50.0
Индапамид (74 мг),Нарушение зрения,1,2,220,28.92255125284738,50.0
Ламотриджин (42 мг),Нарушение зрения,1,2,220,28.92255125284738,50.0
Эсциталопрам (98 мг),Нарушение зрения,1,2,220,28.92255125284738,50.0
Эдоксабан (98 мг),Нарушение зрения,1,2,220,28.92255125284738,50.0
Никорандил (69 мг),Нарушение зрения,1,2,220,28.92255125284738,50.0
Пароксетин (83 мг),Нарушение зрения,1,2,220,28.92255125284738,50.0
Эзетимиб (11 мг),Изжога,2,4,221,28.91343963553531,50.0
Цилостазол (47 мг),Изжога,1,2,221,28.786848072562357,50.0
Доксазозин (10 мг),Изжога,1,2,221,28.786848072562357,50.0
Телмисартан (10 мг),Изжога,1,2,221,28.786848072562357,50.0
Фенитоин (70 мг),Изжога,1,2,221,28.786848072562357,50.0
Эпросартан (34 мг),Изжога,1,2,221,28.786848072562357,50.0
Телмисартан (17 мг),Изжога,1,2,221,28.786848072562357,50.0
Трандолаприл (83 мг),Изжога,1,2,221,28.786848072562357,50.0
Циталопрам (91 мг),Изжога,1,2,221,28.786848072562357,50.0
Клоназепам (99 мг),Отёки,2,4,222,28.77777777777778,50.0
Бупропион (29 мг),Тошнота,2,4,222,28.77777777777778,50.0
Ибупрофен (65 мг),Тошнота,2,4,222,28.77777777777778,50.0
Ибупрофен (65 мг),Гипотензия,2,4,222,28.77777777777778,50.0
Ирбесартан (52 мг),Тошнота,1,2,222,28.65237020316027,50.0
Клопидогрел (90 мг),Тошнота,1,2,222,28.65237020316027,50.0
Периндоприл (83 мг),Гипотензия,1,2,222,28.65237020316027,50.0
Спиронолактон (89 мг),Гипотензия,1,2,222,28.65237020316027,50.0
Ирбесартан (52 мг),Гипотензия,1,2,222,28.65237020316027,50.0
Никорандил (69 мг),Тошнота,1,2,222,28.65237020316027,50.0
Фуросемид (28 мг),Гипотензия,1,2,222,28.65237020316027,50.0
Клоназепам (58 мг),Гипотензия,1,2,222,28.65237020316027,50.0
Индапамид (20 мг),Гипотензия,1,2,222,28.65237020316027,50.0
Моклобемид (98 мг),Нарушение вкуса,2,4,223,28.643340857787813,50.0
Флувоксамин (53 мг),Нарушение вкуса,1,2,223,28.519101123595505,50.0
Телмисартан (53 мг),Нарушение вкуса,1,2,223,28.519101123595505,50.0
Эдоксабан (98 мг),Нарушение вкуса,1,2,223,28.519101123595505,50.0
Индапамид (49 мг),Нарушение вкуса,1,2,223,28.519101123595505,50.0
Эпросартан (88 мг),Нарушение вкуса,1,2,223,28.519101123595505,50.0
Молсидомин (32 мг),Брадикардия,1,2,224,28.387024608501118,50.0
Парацетамол (54 мг),Брадикардия,1,2,224,28.387024608501118,50.0
Эзетимиб (11 мг),Головная боль,2,4,225,28.37807606263982,50.0
Апиксабан (10 мг),Головная боль,1,2,225,28.256124721603562,50.0
Лоразепам (54 мг),Головная боль,1,2,225,28.256124721603562,50.0
Небиволол (71 мг),Головная боль,1,2,225,28.256124721603562,50.0
Валсартан (16 мг),Диарея,1,2,226,28.126385809312637,50.0
Фуросемид (28 мг),Диарея,1,2,226,28.126385809312637,50.0
Индапамид (74 мг),Лейкопения,1,2,227,27.99779249448124,50.0
Пароксетин (100 мг),Лейкопения,1,2,227,27.99779249448124,50.0
Моклобемид (91 мг),Лейкопения,1,2,227,27.99779249448124,50.0
Моксонидин (10 мг),Тромбоцитопения,1,2,232,27.371490280777536,50.0
Цилостазол (64 мг),Тромбоцитопения,1,2,232,27.371490280777536,50.0
Спиронолактон (89 мг),Тромбоцитопения,1,2,232,27.371490280777536,50.0
Тразодон (48 мг),Тромбоцитопения,1,2,232,27.371490280777536,50.0
Вортиоксетин (25 мг),Метеоризм,3,6,234,27.354211663066955,50.0
Ирбесартан (68 мг),Метеоризм,2,4,234,27.240860215053765,50.0
Изосорбида мононитрат (59 мг),Метеоризм,1,2,234,27.12847965738758,50.0
Агомелатин (68 мг),Метеоризм,1,2,234,27.12847965738758,50.0
Цилостазол (64 мг),Метеоризм,1,2,234,27.12847965738758,50.0
Гепарин (92 мг),Метеоризм,1,2,234,27.12847965738758,50.0
Пентоксифиллин (73 мг),Метеоризм,1,2,234,27.12847965738758,50.0
Фондапаринукс (67 мг),Усталость,2,4,235,27.119914346895072,50.0
Доксазозин (10 мг),Усталость,1,2,235,27.00852878464819,50.0
Апиксабан (10 мг),Усталость,1,2,235,27.00852878464819,50.0
Изосорбида мононитрат (59 мг),Усталость,1,2,235,27.00852878464819,50.0
Розувастатин (79 мг),Усталость,1,2,235,27.00852878464819,50.0
Рамиприл (66 мг),Усталость,1,2,235,27.00852878464819,50.0
Небиволол (71 мг),Усталость,1,2,235,27.00852878464819,50.0
Пароксетин (90 мг),Усталость,1,2,235,27.00852878464819,50.0
Моклобемид (91 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Пароксетин (83 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Нифедипин (41 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Цилостазол (47 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Лоразепам (54 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Пентоксифиллин (73 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Дексаметазон (18 мг),Желудочно-кишечные расстройства,1,2,236,26.889596602972397,50.0
Нифедипин (78 мг),Сыпь,3,6,247,25.846625766871167,50.0
Бупропион (29 мг),Сыпь,2,4,247,25.745417515274948,50.0
Трандолаприл (49 мг),Кашель,3,7,195,25.73939393939394,42.857142857142854
Дипиридамол (80 мг),Сыпь,1,2,247,25.645030425963487,50.0
Нифедипин (41 мг),Сыпь,1,2,247,25.645030425963487,50.0
Гепарин (92 мг),Сыпь,1,2,247,25.645030425963487,50.0
Клоназепам (58 мг),Сыпь,1,2,247,25.645030425963487,50.0
Транилципромин (88 мг),Сыпь,1,2,247,25.645030425963487,50.0
